,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
472,Pau Brasil,BR,-15.46,-39.65,74.16,67,86,4.29,overcast clouds
473,Selma,US,36.57,-119.61,100.63,5,1,10.42,clear sky
474,Tessalit,ML,20.20,1.01,97.32,19,16,11.43,few clouds
475,Roros,NO,62.57,11.38,49.84,71,100,9.22,overcast clouds
476,Vestmannaeyjar,IS,63.44,-20.27,51.48,91,100,5.1,overcast clouds
477,Reyes,BO,-14.32,-67.38,91.94,35,0,4.97,clear sky
478,Kyabe,TD,9.45,18.94,72.64,93,100,4.07,overcast clouds
479,Acarau,BR,-2.89,-40.12,82.78,70,80,17.27,broken clouds
480,Westport,US,41.14,-73.36,97.29,44,2,3.0,clear sky
481,Marawi,PH,8.00,124.29,68.79,94,97,2.84,overcast clouds
482,Synya,RU,65.37,58.04,41.47,88,4,2.8,clear sky
483,Namakkal,IN,11.22,78.17,75.36,90,100,4.07,heavy intensity rain
484,Ordzhonikidze,KZ,52.44,61.74,67.14,52,95,5.41,overcast clouds
485,Cap-Chat,CA,49.10,-66.68,70.12,66,60,12.97,broken clouds
486,Eskisehir,TR,39.78,30.52,61.63,55,0,6.62,clear sky
487,Belem De Sao Francisco,BR,-8.75,-38.97,84.74,34,12,15.14,few clouds
488,Turtas,RU,58.94,69.13,51.35,92,47,4.92,scattered clouds
489,Cernosice,CZ,49.96,14.32,79.43,55,0,4.61,clear sky
490,Kushuhum,UA,47.71,35.21,66.34,68,12,11.72,few clouds
491,Pignon,HT,19.33,-72.12,81.27,76,42,9.89,scattered clouds
492,Puerto Leguizamo,CO,-0.19,-74.78,87.24,51,61,1.01,broken clouds
493,Visby,SE,57.64,18.30,66.42,72,75,18.41,broken clouds
494,Hualmay,PE,-11.10,-77.61,65.44,73,35,7.7,scattered clouds
495,Boca Do Acre,BR,-8.75,-67.40,92.91,38,55,0.81,broken clouds
496,Turukhansk,RU,65.82,87.98,59.22,78,11,12.55,few clouds
497,Camocim,BR,-2.90,-40.84,81.81,74,99,14.36,overcast clouds
498,Mount Pleasant,US,32.79,-79.86,93.34,75,100,14.97,haze
499,Japura,ID,-0.32,102.35,73.65,99,86,2.21,overcast clouds
500,Formosa Do Rio Preto,BR,-11.05,-45.19,87.24,24,2,7.36,clear sky
501,Ostersund,SE,63.18,14.64,54.61,82,100,9.22,overcast clouds
502,Abu Samrah,SY,35.30,37.18,79.3,45,0,9.86,clear sky
503,Inirida,CO,3.87,-67.92,82.29,83,99,3.2,overcast clouds
504,Kintinku,TZ,-5.88,35.23,67.96,51,13,5.91,few clouds
505,Cuamba,MZ,-14.80,36.54,66.67,50,72,3.87,broken clouds
506,Vallenar,CL,-28.57,-70.76,69.51,48,68,6.11,broken clouds
507,Kargil,IN,34.57,76.10,64.81,51,100,6.44,overcast clouds
508,Norrtalje,SE,59.76,18.70,62.83,89,100,5.32,overcast clouds
509,Bayir,TR,37.27,28.22,82.92,28,0,5.64,clear sky
510,Matagami,CA,49.75,-77.63,74.23,50,100,10.18,overcast clouds
511,Aksu,CN,41.12,80.26,82.33,21,0,2.93,clear sky
512,Yaviza,PA,8.15,-77.69,81.14,92,92,2.82,overcast clouds
513,Akdepe,TM,42.06,59.38,96.51,14,0,8.93,clear sky
514,Lodwar,KE,3.12,35.60,84.18,38,6,15.12,clear sky
515,Ljungby,SE,56.83,13.94,61.21,75,75,5.64,broken clouds
516,Sudzha,RU,51.20,35.27,58.51,95,34,9.71,scattered clouds
517,Porbandar,IN,21.64,69.61,81.28,83,93,17.36,overcast clouds
518,Bardiyah,LY,31.76,25.09,79.03,61,0,9.84,clear sky
519,Petropavlovka,RU,50.61,105.32,54.16,97,100,3.62,overcast clouds
520,Boali,CF,4.80,18.13,68.63,98,100,4.16,overcast clouds
521,Ajaccio,FR,42.00,8.92,77.05,69,0,4.61,clear sky
522,Boa Vista,BR,2.82,-60.67,85.98,62,75,8.05,broken clouds
523,Ampanihy,MG,-24.70,44.75,63.5,82,0,5.37,clear sky
524,Tubuala,PA,9.52,-79.03,82.38,77,100,4.79,overcast clouds
525,Altoona,US,40.52,-78.39,91.81,53,9,4.0,clear sky
526,Songea,TZ,-10.68,35.65,61.75,61,100,1.36,overcast clouds
527,Urumqi,CN,43.80,87.60,81.55,26,0,2.24,clear sky
528,Yarada,IN,17.65,83.27,82.72,81,100,6.8,overcast clouds
529,Mana,GF,5.66,-53.78,81.86,75,30,7.72,scattered clouds
530,Sokoni,TZ,-6.43,39.55,75.42,76,0,14.94,clear sky
531,Tiffin,US,41.11,-83.18,88.45,52,42,9.91,scattered clouds
532,Jensen Beach,US,27.25,-80.23,91.09,70,40,11.5,scattered clouds
533,Marfino,RU,55.70,37.38,68.34,59,0,6.71,clear sky
534,Plouzane,FR,48.38,-4.62,62.92,74,0,9.22,clear sky
535,Henties Bay,NA,-22.12,14.28,59.9,72,0,6.91,clear sky
536,Jamalpur,BD,24.92,89.93,81.77,87,99,5.17,overcast clouds
537,Black River,JM,18.03,-77.85,88.77,63,19,18.66,few clouds
538,Hobyo,SO,5.35,48.53,76.23,80,16,23.85,few clouds
539,Monte Patria,CL,-30.69,-70.95,67.53,52,3,4.94,clear sky
540,Morogoro,TZ,-6.82,37.67,68.41,63,67,3.0,broken clouds
541,Awbari,LY,26.59,12.78,84.97,19,0,8.46,clear sky
542,Patnos,TR,39.23,42.86,64.06,40,9,2.95,clear sky
543,Gambela,ET,8.25,34.58,70.12,97,98,4.07,moderate rain
544,Kimry,RU,56.87,37.35,62.73,76,23,4.5,few clouds
545,Niquelandia,BR,-14.47,-48.46,86.56,21,0,5.73,clear sky
546,Hammerfest,NO,70.66,23.68,52.25,82,75,13.8,broken clouds
547,Olavarria,AR,-36.89,-60.32,58.01,49,92,3.18,overcast clouds
548,Atlantic City,US,39.36,-74.42,98.02,49,13,13.89,few clouds
549,Kedrovyy,RU,56.17,91.82,52.21,95,97,4.68,overcast clouds
550,Namalenga,TZ,-10.95,39.10,66.67,77,0,5.97,clear sky
551,Sotouboua,TG,8.57,0.98,71.78,93,93,3.15,moderate rain
552,Palaia Fokaia,GR,37.72,23.95,88.84,45,0,7.25,clear sky
553,Touros,BR,-5.20,-35.46,77.25,82,100,15.55,overcast clouds
554,Beyla,GN,8.68,-8.63,68.56,95,31,3.42,scattered clouds
555,Nassau,US,40.75,-73.58,98.28,46,2,7.0,clear sky
556,Nicoya,CR,10.15,-85.45,77.95,88,98,2.59,overcast clouds
557,Cimitarra,CO,6.31,-73.95,91.51,49,54,2.89,broken clouds
558,Yarensk,RU,62.17,49.09,59.4,71,76,2.51,broken clouds
559,Kinango,KE,-4.14,39.32,66.65,94,1,4.97,clear sky
560,Oranjestad,AW,12.52,-70.03,81.01,83,100,22.08,overcast clouds
561,Yurimaguas,PE,-5.90,-76.08,89.67,48,47,5.48,scattered clouds
562,Ust-Tsilma,RU,65.44,52.15,54.41,44,41,4.76,scattered clouds
563,The Valley,AI,18.22,-63.06,86.14,58,40,16.11,scattered clouds
564,Joshimath,IN,30.57,79.57,72.64,92,100,0.6,overcast clouds
565,Tambo,PE,-14.80,-73.92,49.46,27,19,16.24,few clouds
566,Sharjah,AE,25.36,55.40,97.09,56,0,11.5,clear sky
567,Salur,IN,18.53,83.22,79.57,88,100,1.5,overcast clouds
568,Bay Roberts,CA,47.60,-53.26,68.32,57,49,6.26,scattered clouds
569,Shu,KZ,43.60,73.76,82.89,25,0,6.44,clear sky
570,Iberia,US,29.95,-91.75,89.98,65,0,3.44,clear sky
571,Kolda,SN,12.88,-14.95,75.04,93,100,8.08,overcast clouds
572,Baijiantan,CN,45.63,85.18,80.6,35,64,14.56,broken clouds
573,Yining,CN,29.04,114.56,79.36,84,41,2.13,scattered clouds
574,Escanaba,US,45.75,-87.06,87.76,39,20,12.66,few clouds
575,Parabel,RU,58.70,81.48,50.07,93,46,12.88,scattered clouds
576,Timberlake,US,37.32,-79.26,93.88,49,86,1.01,overcast clouds
577,Alibag,IN,18.64,72.88,80.67,85,100,7.72,overcast clouds
578,Benguela,AO,-12.58,13.41,68.29,85,99,3.04,overcast clouds
579,Bitkine,TD,11.98,18.21,78.12,77,100,3.18,moderate rain
580,Kokkola,FI,63.84,23.13,63.93,87,0,2.3,clear sky
581,Tutoia,BR,-2.76,-42.27,81.57,73,26,8.08,scattered clouds
582,Bilma,NE,18.69,12.92,95.18,23,56,3.51,broken clouds
583,Englewood,US,39.65,-104.99,98.38,18,40,11.5,scattered clouds
584,Karera,IN,25.47,78.15,80.31,85,100,4.94,light rain
585,Malatya,TR,38.50,38.00,73.45,31,0,18.41,clear sky
586,Bayji,IQ,34.93,43.49,91.35,16,0,8.93,clear sky
587,Imbituba,BR,-28.24,-48.67,75.85,91,100,2.15,overcast clouds
588,Lysogorskaya,RU,44.11,43.28,63.95,82,100,3.8,overcast clouds
589,Shar,KZ,49.59,81.05,67.32,42,6,3.69,clear sky
590,Venado Tuerto,AR,-33.75,-61.97,71.69,37,0,6.62,clear sky
591,Xuddur,SO,4.12,43.89,74.73,60,80,19.51,broken clouds
592,Sept-Iles,CA,50.20,-66.38,66.06,87,75,3.44,mist
593,Sabla,NG,12.75,4.71,86.77,55,100,8.32,overcast clouds
594,Kita,ML,13.03,-9.49,78.03,83,96,1.61,overcast clouds
595,Ahvaz,IR,31.32,48.67,107.55,12,0,11.5,clear sky
596,Hit,IQ,33.64,42.83,92.61,16,0,10.38,clear sky
597,Windhoek,NA,-22.56,17.08,55.49,38,9,2.84,clear sky
598,Porosozero,RU,62.72,32.73,65.01,77,16,6.26,few clouds
599,Deder,ET,9.32,41.45,58.93,72,59,8.97,broken clouds
600,Lalsot,IN,26.57,76.33,81.45,78,100,2.42,light rain
601,Bhinmal,IN,25.00,72.25,84.52,75,100,15.84,overcast clouds
602,Mao,ES,39.89,4.27,81.16,78,0,3.44,clear sky
603,Uusikaupunki,FI,60.80,21.41,61.83,95,99,4.29,overcast clouds
604,Utete,TZ,-7.99,38.76,67.69,92,1,2.53,clear sky
605,Umba,RU,66.69,34.34,59.85,83,100,4.38,overcast clouds
606,Kibala,TD,9.11,18.35,72.97,92,100,4.43,light rain
607,Sohbatpur,PK,28.52,68.54,88.03,61,98,13.18,overcast clouds
608,Isla Mujeres,MX,21.23,-86.73,86.16,67,62,11.32,broken clouds
609,Turayf,SA,31.67,38.66,84.88,24,0,11.9,clear sky
610,Lubana,LV,56.90,26.72,66.87,74,0,4.38,clear sky
611,Chapais,CA,49.78,-74.85,74.86,47,84,9.31,broken clouds
612,Oussouye,SN,12.48,-16.55,77.83,89,100,12.62,moderate rain
613,Prudentopolis,BR,-25.21,-50.98,70.0,62,97,0.67,overcast clouds
614,Tazmalt,DZ,36.39,4.40,85.14,34,0,5.35,clear sky
615,Betioky,MG,-23.72,44.38,66.43,54,4,8.05,clear sky
616,Mancio Lima,BR,-7.61,-72.90,92.84,36,94,0.92,overcast clouds
617,Ustka,PL,54.58,16.86,64.65,84,1,7.4,clear sky
618,Tshikapa,CD,-6.42,20.80,83.19,31,88,2.53,overcast clouds
619,Alegrete,BR,-29.78,-55.79,68.68,85,100,3.8,moderate rain
620,Gamba,GA,-2.65,10.00,69.21,84,38,8.23,scattered clouds
621,Ihosy,MG,-22.40,46.12,58.17,89,77,8.52,broken clouds
622,Usta Muhammad,PK,28.18,68.04,88.88,56,100,11.88,overcast clouds
623,Bulaevo,KZ,54.91,70.44,56.39,72,7,8.59,clear sky
624,Kopavogur,IS,64.11,-21.91,55.85,93,100,1.01,overcast clouds
625,Constantine,DZ,36.37,6.61,85.41,28,20,6.91,few clouds
626,Mercedes,AR,-34.65,-59.43,65.79,51,1,6.87,clear sky
627,Dongargaon,IN,20.97,80.85,76.84,91,100,3.47,moderate rain
628,Kuito,AO,-12.38,16.93,60.17,33,4,2.3,clear sky
629,Blagoyevo,RU,63.37,47.92,61.54,68,77,4.27,broken clouds
630,Harindanga,IN,22.04,88.32,82.2,84,100,6.2,overcast clouds
631,Karabash,RU,55.48,60.22,57.97,88,24,5.37,few clouds
632,Bejar,ES,40.39,-5.76,75.29,13,32,3.18,scattered clouds
633,Santo Antonio Do Ica,BR,-3.10,-67.94,85.14,69,94,1.99,light rain
634,Ayapel,CO,8.31,-75.14,86.45,66,98,3.69,overcast clouds
635,Chebsara,RU,59.20,38.84,60.13,75,81,4.0,broken clouds
636,Mattoon,US,39.48,-88.37,90.46,58,0,8.05,clear sky
637,Mariental,NA,-24.63,17.97,63.19,27,0,7.31,clear sky
638,Manono,CD,-7.30,27.42,80.2,31,34,4.25,scattered clouds
639,Yarmouth,US,41.71,-70.23,93.67,58,0,9.22,clear sky
640,Pontal Do Parana,BR,-25.65,-48.51,79.99,81,59,2.66,broken clouds
641,Ilave,PE,-16.08,-69.67,56.88,17,0,11.1,clear sky
642,Karpogory,RU,64.00,44.45,64.76,79,31,5.53,scattered clouds
643,Oneonta,US,42.45,-75.06,74.28,92,51,2.95,broken clouds
644,Bonfim,BR,3.08,-59.95,85.77,64,100,3.85,overcast clouds
645,Nizhnevartovsk,RU,60.93,76.55,51.82,76,0,4.47,clear sky
646,Horst,NL,52.31,5.58,65.01,80,100,1.01,overcast clouds
647,Yar-Sale,RU,66.83,70.83,44.6,95,100,15.99,overcast clouds
648,Salinas,US,36.68,-121.66,94.57,61,0,12.66,clear sky
649,Kalugumalai,IN,9.15,77.72,81.36,69,100,7.72,overcast clouds
650,Reims,FR,49.17,4.08,74.14,73,100,13.8,overcast clouds
651,Gorom-Gorom,BF,14.44,-0.24,95.05,34,67,4.25,broken clouds
652,Neverkino,RU,52.79,46.74,58.53,89,100,4.83,overcast clouds
653,Las Palmas,ES,28.42,-14.01,72.39,83,20,17.27,few clouds
654,San Carlos Del Zulia,VE,9.00,-71.91,89.8,56,70,10.16,broken clouds
655,Shahreza,IR,32.03,51.88,81.43,18,77,1.9,broken clouds
656,Barcelos,PT,41.54,-8.62,74.68,61,0,6.33,clear sky
657,Macusani,PE,-14.08,-70.43,50.72,38,2,9.6,clear sky
658,Dingli,MT,35.86,14.38,78.96,78,0,4.61,clear sky
659,Port Hawkesbury,CA,45.62,-61.35,82.58,89,43,4.0,scattered clouds
660,Pueblo Nuevo,MX,23.38,-105.38,74.77,54,41,7.16,scattered clouds
661,Warah,PK,27.45,67.80,92.12,54,100,3.96,overcast clouds
662,Marietta,US,33.95,-84.55,91.89,72,75,8.05,broken clouds
663,Lipari,IT,38.47,14.95,81.32,65,0,4.25,clear sky
664,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,81.36,91,75,0.81,broken clouds
665,Kasamwa,TZ,-2.85,32.43,68.63,41,9,4.41,clear sky
666,Miandrivazo,MG,-19.52,45.47,71.6,49,75,1.61,broken clouds
667,Boende,CD,-0.22,20.87,71.6,95,100,3.56,overcast clouds
668,Zambezi,ZM,-13.54,23.10,64.6,38,54,5.55,broken clouds
669,Ouesso,CG,1.61,16.05,70.83,96,100,1.72,moderate rain
670,Urucui,BR,-7.23,-44.56,93.22,25,100,5.46,overcast clouds
671,Aguimes,ES,27.91,-15.45,73.65,78,20,32.21,few clouds
672,San Juan,AR,-31.54,-68.54,68.9,19,4,6.24,clear sky
673,Mahon,ES,39.89,4.27,81.16,78,0,3.44,clear sky
674,Turmalina,BR,-17.29,-42.73,77.49,39,9,8.48,clear sky
675,Narni,IT,42.52,12.52,83.95,41,0,3.65,clear sky
676,Salekhard,RU,66.53,66.60,46.44,89,100,6.64,light rain
677,Epernay,FR,49.05,3.95,74.48,70,100,4.38,overcast clouds
678,Ittiri,IT,40.59,8.57,77.9,60,0,1.83,clear sky
679,Porangatu,BR,-13.44,-49.15,90.88,20,0,3.42,clear sky
680,Tabuk,PH,17.42,121.44,74.71,92,4,3.4,clear sky
681,Mankachar,IN,25.53,89.87,81.66,84,99,3.89,light rain
682,Elat,IL,29.56,34.95,94.84,43,0,14.97,clear sky
683,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,80.91,86,62,3.02,broken clouds
684,Soyo,AO,-6.13,12.37,68.88,87,96,5.82,overcast clouds
685,Tahoua,NE,14.89,5.27,89.51,47,100,3.94,light rain
686,Amargosa,BR,-13.03,-39.60,70.7,77,67,7.83,broken clouds
687,Owando,CG,-0.48,15.90,75.2,81,100,4.56,overcast clouds
688,Two Rivers,US,44.15,-87.57,91.89,42,0,13.8,clear sky
689,Tignere,CM,7.37,12.65,64.53,98,100,2.24,light rain
690,Zabol,AF,32.25,67.25,81.21,30,81,5.86,broken clouds
691,Pitkyaranta,RU,61.57,31.48,63.45,77,13,5.7,few clouds
692,Tambopata,PE,-12.73,-69.18,89.49,48,40,5.75,scattered clouds
693,Borujerd,IR,33.90,48.75,77.22,18,0,4.88,clear sky
694,Najran,SA,17.49,44.13,90.7,26,100,4.76,overcast clouds
695,Birao,CF,10.28,22.79,73.63,90,14,8.43,few clouds
696,Bara,NG,10.37,10.73,76.42,80,95,6.98,overcast clouds
697,Kisangani,CD,0.52,25.20,72.52,94,100,2.55,overcast clouds
698,Murgab,TM,37.50,61.97,92.52,13,0,10.85,clear sky
699,Sisimiut,GL,66.94,-53.67,47.05,80,100,3.62,overcast clouds
700,Semnan,IR,35.57,53.40,86.09,34,0,8.01,clear sky
701,Pangody,RU,65.85,74.49,45.77,90,100,3.49,overcast clouds
702,Misratah,LY,32.38,15.09,80.96,58,0,9.57,clear sky
703,Mango,US,27.98,-82.31,98.06,60,40,1.99,scattered clouds
704,Arica,CL,-18.48,-70.30,65.75,72,100,10.36,overcast clouds
705,Togur,RU,58.36,82.83,53.17,94,100,14.23,overcast clouds
706,Aqtobe,KZ,50.28,57.21,69.89,60,0,6.71,clear sky
707,Methoni,GR,36.82,21.70,84.22,72,0,9.57,clear sky
708,French Harbor,HN,16.35,-86.43,86.07,83,40,18.41,scattered clouds
709,Pomabamba,PE,-8.83,-77.47,63.45,29,5,5.44,clear sky
710,El Cobre,CU,20.05,-75.95,85.44,74,40,10.36,scattered clouds
711,Kankon,IN,15.02,74.02,78.4,87,100,8.52,overcast clouds
712,Ocumare Del Tuy,VE,10.12,-66.78,90.1,47,30,5.37,scattered clouds
